,i,g,status
1302,118,4,FP
1303,118,5,FP
1304,118,6,TN
1305,118,7,TN
1306,118,8,TN
1307,118,9,TN
1308,118,10,TN
1309,119,0,FP
1310,119,1,FP
1311,119,2,FP
1312,119,3,TN
1313,119,4,TN
1314,119,5,TN
1315,119,6,TN
1316,119,7,TN
1317,119,8,TN
1318,119,9,TN
1319,119,10,TN
1320,120,0,FP
1321,120,1,FP
1322,120,2,FP
1323,120,3,FP
1324,120,4,FP
1325,120,5,TN
1326,120,6,TN
1327,120,7,TN
1328,120,8,TN
1329,120,9,TN
1330,120,10,TN
1331,121,0,FP
1332,121,1,FP
1333,121,2,FP
1334,121,3,FP
1335,121,4,TN
1336,121,5,TN
1337,121,6,TN
1338,121,7,TN
1339,121,8,TN
1340,121,9,TN
1341,121,10,TN
1342,122,0,FP
1343,122,1,FP
1344,122,2,FP
1345,122,3,FP
1346,122,4,FP
1347,122,5,FP
1348,122,6,TN
1349,122,7,TN
1350,122,8,TN
1351,122,9,TN
1352,122,10,TN
1353,123,0,FP
1354,123,1,FP
1355,123,2,FP
1356,123,3,FP
1357,123,4,TN
1358,123,5,TN
1359,123,6,TN
1360,123,7,TN
1361,123,8,TN
1362,123,9,TN
1363,123,10,TN
1364,124,0,FP
1365,124,1,FP
1366,124,2,FP
1367,124,3,FP
1368,124,4,FP
1369,124,5,TN
1370,124,6,TN
1371,124,7,TN
1372,124,8,TN
1373,124,9,TN
1374,124,10,TN
1375,125,0,FP
1376,125,1,FP
1377,125,2,FP
1378,125,3,FP
1379,125,4,FP
1380,125,5,FP
1381,125,6,TN
1382,125,7,TN
1383,125,8,TN
1384,125,9,TN
1385,125,10,TN
1386,126,0,FP
1387,126,1,FP
1388,126,2,FP
1389,126,3,FP
1390,126,4,FP
1391,126,5,TN
1392,126,6,TN
1393,126,7,TN
1394,126,8,TN
1395,126,9,TN
1396,126,10,TN
1397,127,0,TP
1398,127,1,TP
1399,127,2,TP
1400,127,3,TP
1401,127,4,TP
1402,127,5,TP
1403,127,6,TP
1404,127,7,FN
1405,127,8,FN
1406,127,9,FN
1407,127,10,FN
1408,128,0,TP
1409,128,1,TP
1410,128,2,TP
1411,128,3,TP
1412,128,4,TP
1413,128,5,TP
1414,128,6,TP
1415,128,7,TP
1416,128,8,TP
1417,128,9,FN
1418,128,10,FN
1419,129,0,FP
1420,129,1,FP
1421,129,2,FP
1422,129,3,FP
1423,129,4,FP
1424,129,5,TN
1425,129,6,TN
1426,129,7,TN
1427,129,8,TN
1428,129,9,TN
1429,129,10,TN
1430,130,0,TP
1431,130,1,TP
1432,130,2,TP
1433,130,3,TP
1434,130,4,TP
1435,130,5,TP
1436,130,6,TP
1437,130,7,TP
1438,130,8,TP
1439,130,9,TP
1440,130,10,FN
1441,131,0,FP
1442,131,1,FP
1443,131,2,FP
1444,131,3,FP
1445,131,4,FP
1446,131,5,FP
1447,131,6,FP
1448,131,7,TN
1449,131,8,TN
1450,131,9,TN
1451,131,10,TN
1452,132,0,TP
1453,132,1,TP
1454,132,2,TP
1455,132,3,TP
1456,132,4,TP
1457,132,5,TP
1458,132,6,TP
1459,132,7,TP
1460,132,8,TP
1461,132,9,FN
1462,132,10,FN
1463,133,0,FP
1464,133,1,FP
1465,133,2,FP
1466,133,3,FP
1467,133,4,FP
1468,133,5,FP
1469,133,6,FP
1470,133,7,TN
1471,133,8,TN
1472,133,9,TN
1473,133,10,TN
1474,134,0,FP
1475,134,1,FP
1476,134,2,FP
1477,134,3,FP
1478,134,4,FP
1479,134,5,FP
1480,134,6,FP
1481,134,7,FP
1482,134,8,TN
1483,134,9,TN
1484,134,10,TN
1485,135,0,FP
1486,135,1,FP
1487,135,2,FP
1488,135,3,FP
1489,135,4,FP
1490,135,5,FP
1491,135,6,FP
1492,135,7,TN
1493,135,8,TN
1494,135,9,TN
1495,135,10,TN
